;As of;Rank;Year to Date Rank;Last Week Rank;Title;Type;Netflix Exclusive;Netflix Release Date;Days In Top 10;Viewership Score;0;1;2;3
0;01/04/2020;1;1.0;1.0;Tiger King: Murder, Mayhem …;TV Show;Yes;Mar 20, 2020;9;5.0;0.0;0.0;0.0;1.0
1;01/04/2020;2;2.0;3.9486203615604185;Cocomelon;TV Show;Yes;Jul 21, 2017;5;5.0;0.0;0.0;0.0;1.0
2;01/04/2020;3;3.0;2.0;All American;TV Show;Yes;Mar 28, 2019;9;5.0;0.0;0.0;0.0;1.0
3;01/04/2020;4;4.0;3.9486203615604185;Blood Father;Movie;Yes;Mar 26, 2020;5;5.0;0.0;1.0;0.0;0.0
4;01/04/2020;5;5.0;4.0;The Platform;Movie;Yes;Mar 20, 2020;9;5.0;0.0;1.0;0.0;0.0
5;01/04/2020;6;6.0;3.9486203615604185;Car Masters: Rust to Riches;TV Show;Yes;Sep 14, 2018;4;5.0;0.0;0.0;0.0;1.0
6;01/04/2020;7;10.0;5.0;Unorthodox;TV Show;Yes;Mar 26, 2020;2;5.0;0.0;0.0;0.0;1.0
7;02/04/2020;7;10.0;5.0;Unorthodox;TV Show;Yes;Mar 26, 2021;2;5.0;0.0;0.0;0.0;1.0
8;03/04/2020;7;10.0;5.0;Unorthodox;Movie;Yes;Mar 26, 2022;2;5.0;0.0;1.0;0.0;0.0
9;04/04/2020;7;10.0;5.0;Unorthodox;Movie;Yes;Mar 26, 2023;2;5.0;0.0;1.0;0.0;0.0
10;05/04/2020;7;10.0;5.0;Unorthodox;TV Show;Yes;Mar 26, 2024;2;5.0;0.0;0.0;0.0;1.0
11;06/04/2020;7;10.0;5.0;Unorthodox;TV Show;Yes;Mar 26, 2025;2;5.0;0.0;0.0;0.0;1.0
12;07/04/2020;7;10.0;5.0;Unorthodox;TV Show;Yes;Mar 26, 2026;2;5.0;0.0;0.0;0.0;1.0
13;08/04/2020;7;10.0;5.0;Unorthodox;TV Show;Yes;Mar 26, 2027;2;5.0;0.0;0.0;0.0;1.0
14;09/04/2020;7;10.0;5.0;Unorthodox;TV Show;Yes;Mar 26, 2028;2;5.0;0.0;0.0;0.0;1.0
15;02/04/2020;6;4.0;3.9486203615604185;Blood Father;Movie;Yes;Mar 26, 2020;6;35.0;0.0;1.0;0.0;0.0
16;02/04/2020;7;5.055866816071714;3.9486203615604185;The Roommate;Movie;Yes;Apr 1, 2020;1;4.0;0.0;1.0;0.0;0.0
17;02/04/2020;8;7.0;3.9486203615604185;Unorthodox;TV Show;Yes;Mar 26, 2020;3;8.0;0.0;0.0;0.0;1.0
18;02/04/2020;9;5.0;4.0;The Platform;Movie;Yes;Mar 20, 2020;10;57.0;0.0;1.0;0.0;0.0
19;02/04/2020;10;6.0;3.9486203615604185;Car Masters: Rust to Riches;TV Show;Yes;Sep 14, 2018;5;15.0;0.0;0.0;0.0;1.0
20;03/04/2020;1;1.0;1.0;Tiger King: Murder, Mayhem …;TV Show;Yes;Mar 20, 2020;11;110.0;0.0;0.0;0.0;1.0
21;03/04/2020;2;2.0;3.9486203615604185;Cocomelon;TV Show;Yes;Jul 21, 2017;7;63.0;0.0;0.0;0.0;1.0
22;03/04/2020;3;3.0;2.0;All American;TV Show;Yes;Mar 28, 2019;11;92.0;0.0;0.0;0.0;1.0
23;03/04/2020;4;5.0;3.9486203615604185;How to Fix a Drug Scandal;TV Show;Yes;Apr 1, 2020;2;13.0;0.0;0.0;0.0;1.0
24;03/04/2020;5;4.0;3.9486203615604185;Nailed It!;TV Show;Yes;Mar 9, 2018;2;13.0;0.0;0.0;0.0;1.0
25;03/04/2020;6;7.0;3.9486203615604185;The Roommate;Movie;Yes;Apr 1, 2020;2;9.0;0.0;1.0;0.0;0.0
26;03/04/2020;7;8.0;3.9486203615604185;Unorthodox;TV Show;Yes;Mar 26, 2020;4;12.0;0.0;0.0;0.0;1.0
27;03/04/2020;8;5.055866816071714;3.9486203615604185;The Players Club;Movie;Yes;Apr 1, 2020;1;3.0;0.0;1.0;0.0;0.0
28;03/04/2020;9;5.055866816071714;3.9486203615604185;Salt;Movie;Yes;Apr 1, 2020;1;2.0;0.0;1.0;0.0;0.0
29;03/04/2020;10;6.0;3.9486203615604185;Blood Father;Movie;Yes;Mar 26, 2020;7;36.0;0.0;1.0;0.0;0.0
30;04/04/2020;1;1.0;1.0;Tiger King: Murder, Mayhem …;TV Show;Yes;Mar 20, 2020;12;120.0;0.0;0.0;0.0;1.0
31;04/04/2020;2;2.0;2.0;Cocomelon;TV Show;Yes;Jul 21, 2017;8;72.0;0.0;0.0;0.0;1.0
32;04/04/2020;3;5.055866816071714;3.9486203615604185;Money Heist;TV Show;Yes;Dec 20, 2017;1;8.0;0.0;0.0;0.0;1.0
33;04/04/2020;4;3.0;3.0;All American;TV Show;Yes;Mar 28, 2019;12;99.0;0.0;0.0;0.0;1.0
34;04/04/2020;5;5.055866816071714;3.9486203615604185;Coffee & Kareem;Movie;Yes;Apr 3, 2020;1;6.0;0.0;1.0;0.0;0.0
35;04/04/2020;6;4.0;3.9486203615604185;How to Fix a Drug Scandal;TV Show;Yes;Apr 1, 2020;3;18.0;0.0;0.0;0.0;1.0
36;04/04/2020;7;6.0;3.9486203615604185;The Roommate;TV Show;Yes;Apr 1, 2020;3;13.0;0.0;0.0;0.0;1.0
37;04/04/2020;8;5.0;3.9486203615604185;Nailed It!;TV Show;Yes;Mar 9, 2018;3;16.0;0.0;0.0;0.0;1.0
38;04/04/2020;9;7.0;3.9486203615604185;Unorthodox;TV Show;Yes;Mar 26, 2020;5;14.0;0.0;0.0;0.0;1.0
39;04/04/2020;10;8.0;3.9486203615604185;The Players Club;TV Show;Yes;Apr 1, 2020;2;4.0;0.0;0.0;0.0;1.0
40;05/04/2020;1;1.0;1.0;Tiger King: Murder, Mayhem …;TV Show;Yes;Mar 20, 2020;13;130.0;0.0;0.0;0.0;1.0
41;05/04/2020;2;2.0;2.0;Cocomelon;TV Show;Yes;Jul 21, 2017;9;81.0;0.0;0.0;0.0;1.0
42;05/04/2020;3;5.0;3.9486203615604185;Coffee & Kareem;Movie;Yes;Apr 3, 2020;2;14.0;0.0;1.0;0.0;0.0
43;05/04/2020;4;3.0;3.9486203615604185;Money Heist;TV Show;Yes;Dec 20, 2017;2;15.0;0.0;0.0;0.0;1.0
44;05/04/2020;5;4.0;3.0;All American;TV Show;Yes;Mar 28, 2019;13;105.0;0.0;0.0;0.0;1.0
45;05/04/2020;6;6.0;3.9486203615604185;How to Fix a Drug Scandal;TV Show;Yes;Apr 1, 2020;4;23.0;0.0;0.0;0.0;1.0
46;05/04/2020;7;8.0;3.9486203615604185;Nailed It!;TV Show;Yes;Mar 9, 2018;4;20.0;0.0;0.0;0.0;1.0
47;05/04/2020;8;7.0;3.9486203615604185;The Roommate;Movie;Yes;Apr 1, 2020;4;16.0;0.0;1.0;0.0;0.0
48;05/04/2020;9;5.055866816071714;3.9486203615604185;Angel Has Fallen;Movie;Yes;Apr 4, 2020;1;2.0;0.0;1.0;0.0;0.0
49;05/04/2020;10;9.0;3.9486203615604185;Unorthodox;TV Show;Yes;Mar 26, 2020;6;15.0;0.0;0.0;0.0;1.0
50;06/04/2020;1;1.0;1.0;Tiger King: Murder, Mayhem …;TV Show;Yes;Mar 20, 2020;14;140.0;0.0;0.0;0.0;1.0
51;06/04/2020;2;2.0;2.0;Cocomelon;TV Show;Yes;Jul 21, 2017;10;5.0;0.0;0.0;0.0;1.0
52;06/04/2020;3;3.0;3.9486203615604185;Coffee & Kareem;Movie;Yes;Apr 3, 2020;3;22.0;0.0;1.0;0.0;0.0
53;06/04/2020;4;9.0;3.9486203615604185;Angel Has Fallen;Movie;Yes;Apr 4, 2020;2;9.0;0.0;1.0;0.0;0.0
54;06/04/2020;5;4.0;3.9486203615604185;Money Heist;TV Show;Yes;Dec 20, 2017;3;21.0;0.0;0.0;0.0;1.0
55;06/04/2020;6;5.0;3.0;All American;TV Show;Yes;Mar 28, 2019;14;110.0;0.0;0.0;0.0;1.0
56;06/04/2020;7;6.0;3.9486203615604185;How to Fix a Drug Scandal;TV Show;Yes;Apr 1, 2020;5;27.0;0.0;0.0;0.0;1.0
57;06/04/2020;8;7.0;3.9486203615604185;Nailed It!;TV Show;Yes;Mar 9, 2018;5;23.0;0.0;0.0;0.0;1.0
58;06/04/2020;9;8.0;3.9486203615604185;The Roommate;Movie;Yes;Apr 1, 2020;5;18.0;0.0;1.0;0.0;0.0
59;06/04/2020;10;5.055866816071714;3.9486203615604185;The Hangover;Movie;Yes;Jul 1, 2019;1;1.0;0.0;1.0;0.0;0.0
60;07/04/2020;1;1.0;1.0;Tiger King: Murder, Mayhem …;TV Show;Yes;Mar 20, 2020;15;150.0;0.0;0.0;0.0;1.0
61;07/04/2020;2;2.0;2.0;Cocomelon;TV Show;Yes;Jul 21, 2017;11;99.0;0.0;0.0;0.0;1.0
62;07/04/2020;3;3.0;3.9486203615604185;Coffee & Kareem;Movie;Yes;Apr 3, 2020;4;30.0;0.0;1.0;0.0;0.0
63;07/04/2020;4;4.0;3.9486203615604185;Angel Has Fallen;Movie;Yes;Apr 4, 2020;3;16.0;0.0;1.0;0.0;0.0
64;07/04/2020;5;5.0;3.9486203615604185;Money Heist;TV Show;Yes;Dec 20, 2017;4;27.0;0.0;0.0;0.0;1.0
65;07/04/2020;6;6.0;3.0;All American;TV Show;Yes;Mar 28, 2019;15;115.0;0.0;0.0;0.0;1.0
66;07/04/2020;7;5.055866816071714;3.9486203615604185;The Big Show Show;TV Show;Yes;Apr 6, 2020;1;4.0;0.0;0.0;0.0;1.0
67;07/04/2020;8;8.0;3.9486203615604185;Nailed It!;TV Show;Yes;Mar 9, 2018;6;26.0;0.0;0.0;0.0;1.0
68;07/04/2020;9;7.0;3.9486203615604185;How to Fix a Drug Scandal;TV Show;Yes;Apr 1, 2020;6;29.0;0.0;0.0;0.0;1.0
69;07/04/2020;10;5.055866816071714;3.9486203615604185;Legacies;TV Show;Yes;Apr 5, 2019;1;1.0;0.0;0.0;0.0;1.0
70;08/04/2020;1;1.0;1.0;Tiger King: Murder, Mayhem …;TV Show;Yes;Mar 20, 2020;16;160.0;0.0;0.0;0.0;1.0
71;08/04/2020;2;2.0;2.0;Cocomelon;TV Show;Yes;Jul 21, 2017;12;108.0;0.0;0.0;0.0;1.0
72;08/04/2020;3;3.0;3.9486203615604185;Coffee & Kareem;Movie;Yes;Apr 3, 2020;5;38.0;0.0;1.0;0.0;0.0
73;08/04/2020;4;7.0;3.9486203615604185;The Big Show Show;TV Show;Yes;Apr 6, 2020;2;11.0;0.0;0.0;0.0;1.0
74;08/04/2020;5;4.0;3.9486203615604185;Angel Has Fallen;Movie;Yes;Apr 4, 2020;4;22.0;0.0;1.0;0.0;0.0
75;08/04/2020;6;5.0;3.9486203615604185;Money Heist;TV Show;Yes;Dec 20, 2017;5;32.0;0.0;0.0;0.0;1.0
76;08/04/2020;7;6.0;3.0;All American;TV Show;Yes;Mar 28, 2019;16;119.0;0.0;0.0;0.0;1.0
77;08/04/2020;8;10.0;3.9486203615604185;Legacies;TV Show;Yes;Apr 5, 2019;2;4.0;0.0;0.0;0.0;1.0
78;08/04/2020;9;8.0;3.9486203615604185;Nailed It!;TV Show;Yes;Mar 9, 2018;7;28.0;0.0;0.0;0.0;1.0
79;08/04/2020;10;5.055866816071714;3.9486203615604185;The Hangover;Movie;Yes;Jul 1, 2019;2;2.0;0.0;1.0;0.0;0.0
80;09/04/2020;1;1.0;1.0;Tiger King: Murder, Mayhem …;TV Show;Yes;Mar 20, 2020;17;170.0;0.0;0.0;0.0;1.0
81;09/04/2020;2;2.0;2.0;Cocomelon;TV Show;Yes;Jul 21, 2017;13;117.0;0.0;0.0;0.0;1.0
