;As of;Rank;Year to Date Rank;Last Week Rank;Title;Type;Netflix Exclusive;Netflix Release Date;Days In Top 10;Viewership Score
0;01/04/2020;1;1.0;1.0;Tiger King: Murder, Mayhem …;TV Show;Yes;Mar 20, 2020;9;90
1;01/04/2020;2;2.0;3.9383780332056193;Ozark;TV Show;Yes;Jul 21, 2017;5;45
2;01/04/2020;3;3.0;2.0;All American;TV Show;Yes;Mar 28, 2019;9;76
3;01/04/2020;4;4.0;3.9383780332056193;Blood Father;Movie;Yes;Mar 26, 2020;5;30
4;01/04/2020;5;5.0;4.0;The Platform;Movie;Yes;Mar 20, 2020;9;55
5;01/04/2020;6;6.0;3.9383780332056193;Car Masters: Rust to Riches;TV Show;Yes;Sep 14, 2018;4;14
6;01/04/2020;7;10.0;3.9383780332056193;Unorthodox;TV Show;Yes;Mar 26, 2020;2;5
7;01/04/2020;8;7.0;5.0;Love is Blind;TV Show;Yes;Feb 13, 2020;9;40
8;01/04/2020;9;8.0;3.9383780332056193;Badland;Movie;Yes;Mar 26, 2020;4;11
9;01/04/2020;10;9.0;3.9383780332056193;Uncorked;Movie;Yes;Mar 27, 2020;4;15
10;02/04/2020;1;1.0;1.0;Tiger King: Murder, Mayhem …;TV Show;Yes;Mar 20, 2020;10;100
11;02/04/2020;2;2.0;3.9383780332056193;Ozark;TV Show;Yes;Jul 21, 2017;6;54
12;02/04/2020;3;3.0;2.0;All American;TV Show;Yes;Mar 28, 2019;10;84
13;02/04/2020;4;5.050312449927896;3.9383780332056193;Nailed It!;TV Show;Yes;Mar 9, 2018;1;7
14;02/04/2020;5;5.050312449927896;3.9383780332056193;How to Fix a Drug Scandal;TV Show;Yes;Apr 1, 2020;1;6
15;02/04/2020;6;4.0;3.9383780332056193;Blood Father;Movie;Yes;Mar 26, 2020;6;35
16;02/04/2020;7;5.050312449927896;3.9383780332056193;The Roommate;Movie;Yes;Apr 1, 2020;1;4
17;02/04/2020;8;7.0;3.9383780332056193;Unorthodox;TV Show;Yes;Mar 26, 2020;3;8
18;02/04/2020;9;5.0;4.0;The Platform;Movie;Yes;Mar 20, 2020;10;57
19;02/04/2020;10;6.0;3.9383780332056193;Car Masters: Rust to Riches;TV Show;Yes;Sep 14, 2018;5;15
20;03/04/2020;1;1.0;1.0;Tiger King: Murder, Mayhem …;TV Show;Yes;Mar 20, 2020;11;110
21;03/04/2020;2;2.0;3.9383780332056193;Ozark;TV Show;Yes;Jul 21, 2017;7;63
22;03/04/2020;3;3.0;2.0;All American;TV Show;Yes;Mar 28, 2019;11;92
23;03/04/2020;4;5.0;3.9383780332056193;How to Fix a Drug Scandal;TV Show;Yes;Apr 1, 2020;2;13
24;03/04/2020;5;4.0;3.9383780332056193;Nailed It!;TV Show;Yes;Mar 9, 2018;2;13
25;03/04/2020;6;7.0;3.9383780332056193;The Roommate;Movie;Yes;Apr 1, 2020;2;9
26;03/04/2020;7;8.0;3.9383780332056193;Unorthodox;TV Show;Yes;Mar 26, 2020;4;12
